게시판종류,제목,작성일,본문내용,링크,사진
공지사항,"[공지]2024년 공학교육인증 안내책자(공학인증소개, 학과별 교육과정/이수기준 등)",'2024-02-22,"2024년 신입생 및 교수님들께 공학교육인증제에 대한 도움을 드리기 위해 2023학년도 공학교육인증안내책자를 첨부하오니,
공학교육인증제도 및 학과별 교육과정, 공학인증시스템의 신규 메뉴얼 등 을 참고하여 주시기 바랍니다.
* 공학인증제도 문의 : (033)250-7199
* 인증시스템 접속 등 사용 문의 : (033)250-7199
* 교육과정 이수기준 및 교과목 이수 : 소속 학과 사무실로 문의",https://icee.kangwon.ac.kr/index.php?mt=page&mp=5_1&mm=oxbbs&oxid=1&BID=1785&cmd=view,
공지사항,[공지] 공과대학6호관 창의설계실습실 예약 안내(033-250-7169),'2023-03-22,"공과대학 6호관 2층에 위치한
창의설계실습실
이 리모델링을 통해 새로운 공간으로 탄생하였습니다.
많은 이용바랍니다.
※ 창의설계실습실은 2023년 9월25일(월)부터 사용 가능합니다.
《주요안내사항》
-운영시간: 월~금 9:00~22:00
-홈페이지를 통한 신청 : 팀 단위 신청(예약인원 3인 이상,
단독 사용 불가
)
-이메일을 통한 출입QR코드 발송(
이메일 주소 기재 주의, 오류에 따른 책임은 신청자에게 있음
)
-승인완료 및 QR코드 수령 팀에 한하여 사용가능(신청 후 QR코드 수령까지 확인 바람)
-
예약은 사용일 하루 전(17:00)
까지
가능,
당일예약 불가",https://icee.kangwon.ac.kr/index.php?mt=page&mp=5_1&mm=oxbbs&oxid=1&BID=1726&cmd=view,1682.jpg;1724.png
공지사항,[모집] 2025 학생 포트폴리오 경진대회 참가자 모집 안내,'2025-04-28,"공학교육혁신센터에서는 취업 및 진학 인터뷰에 유용하게 활용될 수 있는 포트폴리오 작성 동기 부여 및 개인 역량 강화를 위하여
「
2025
학생포트폴리오 경진대회
」
를 다음과 같이 개최 하오니 관심있는 학생들의 많은 참여 바랍니다
.
(
참가신청 바로가기
▶
강원대학교 공학교육혁신센터
)
※
교내대회 수상자는 전국대회 참가 자격이 주어집니다
.
1.
프로그램
:
2025
학생 포트폴리오 경진대회 참가자 모집
2.
참가대상
:
문화예술
·
공과대학
(
공학계열
), IT
대학
3~4
학년 재학생
3.
진행일정
:
참가신청
→
포트폴리오 작성법 특강
→
교내 포트폴리오 심사
→
전국대회 참여
→
전국대회 심사
→
전국대회 시상식 및 전시
(
자세한 사항은 첨부파일 참조
)
4.
참가분야 및 내용
:
첨부파일 참조
5. 2022~2024
년 전국대회 수상 내역
https://www.abeek.or.kr/community/notice/2065
년도
참가 분야
상격
성명
전공
2024
2
분야
한국공학교육인증원장상
김
*
호
메카트로닉스공학전공
2
분야
한국공학교육인증원장상
홍
*
영
건축공학전공
2
분야
공학교육혁신협의회장상
정
*
현
메카트로닉스공학전공
2023
2
분야
우수상
이
*
준
메카트로닉스공학전공
3
분야
우수상
윤
*
준
환경공학전공
3
분야
우수상
전
*
진
환경공학전공
2022
2
분야
우수상
전
*
묵
전기전자공학과
4
분야
우수상
박
*
민
생물공학전공
6.
문의 및 서류 제출
:
공학교육혁신센터
033-250-7168 /
icee@kangwon.ac.kr",https://icee.kangwon.ac.kr/index.php?mt=page&mp=5_1&mm=oxbbs&oxid=1&BID=1840&cmd=view,1932.png
공지사항,(종료)[모집] 가천대 미래 신산업 창의융합캠프 참가자 모집,'2025-04-14,"성균관대 컨소시엄(강원대, 가천대, 건양대, 경희대, 대진대, 성균관대)에서는
디지털헬스케어 융합 신산업 창출 창의혁신
DNA-X
공학 인재 양성을 위해
창의혁신
DNA School
교육 프로그램을 운영합니다.
해당 프로그램은 창의 혁신 DNA School 교육 과정 ""기초"" 프로그램입니다.
2025 DNA School 가천대학교 미래 신산업 창의융합캠프를 아래와 같이 안내드립니다.
많은 관심과 참여 부탁드립니다.
1. 프로그램명
: 미래 신산업 창의융합캠프 2차(심화과정)
[2025 DNA School
미래신산업 수요특화교육
기초단계]
2. 일   시
: 2025년 5월 30일(금) ~ 6월 1일(일)
3. 장   소
: 양평 블룸비스타(현대종합연수원) /
집결 및 출발장소 : 가천대학교
4. 내   용
: 무한대의 상상력을 통한 무한대의 해답 찾기
(1) 문제 정의
(2) 상상력 훈련
(3) 개발 방향 토의
(4) 신제품 개념 설계
5. 모집인원
: 성균관대 컨소시엄 참여대학 재학생 12명(강원대학교 참가 가능 학생, 선착순 2명)
6. 신청기간
: 2025. 4. 30(수) 17시까지
7. 참가대상자
: 개별통보
8. 참가비
: 없음(숙식제공)
9. 준비물
: 노트북, 세면도구, 필기도구
10. 신청
: 참가신청서 이메일 제출(
icee@kangwon.ac.kr
)
자세한 사항은 붙임 파일 참조 바랍니다.",https://icee.kangwon.ac.kr/index.php?mt=page&mp=5_1&mm=oxbbs&oxid=1&BID=1839&cmd=view,
공지사항,(종료)[모집] 대진대 바이오·디지털헬스케어 기반 아두이노 활용(I) 참가자 모집,'2025-04-11,"성균관대 컨소시엄(강원대, 가천대, 건양대, 경희대, 대진대, 성균관대, 인천대)에서는
디지털헬스케어 융합 신산업 창출 창의혁신
DNA-X
공학 인재 양성을 위해
창의혁신
DNA School
교육 프로그램을 운영합니다.
해당 프로그램은 대진대학교 공학교육혁신센터에서 운영하는 창의 혁신 DNA School 교육 과정 ""기초"" 프로그램입니다.
1. 프로그램명: 2025학년도 DNA School 바이오·디지털헬스케어 기반 아두이노 활용(I)
2. 교육 주제: 시각 장애인을 위한 아두이노 거리 감지 센서 프로그래밍 실습
3. 일정
- 프로그램 신청
:
~ 2025. 4. 24.(목)
/ 붙임. 참가신청서 작성 후 이메일 제출, icee@kangwon.ac.kr
- 실습 재료 수령(택배)
:
2025. 5. 7.(수) ~ 2025. 5. 9.(금)
-
운영 기간: 2025. 5. 12.(월) ~ 2025. 5. 30.(금)
)
- 수료증 발급
:
별도 안내 예정
4. 자격 및 참가 형태
- 신청 방법: 소속 대학 공학교육혁신센터를 통해 신청
- 모집 인원: 성균관대학교 컨소시엄 소속 대학 재학생 30명/
강원대학교 학생(최대 5명, 선착순)
5. 운영 방법
- 대진대학교 e-learning 시스템에서 교육 진행(모집 종료 후 개별 안내)
-
https://eclass.daejin.ac.kr/login.php?sso=ok
- 실습 부품은 신청서에 기재된 주소지로 택배 발송
6. 기타 문의
- 공학교육혁신센터: 033-250-7168, icee@kangwon.ac.kr",https://icee.kangwon.ac.kr/index.php?mt=page&mp=5_1&mm=oxbbs&oxid=1&BID=1838&cmd=view,
공지사항,"한국발명진흥회,LG전자 주최「LG 컴포트 키트 아이디어 공모전」 참가자 모집 안내",'2025-03-31,"가전제품의 접근성을 높이는 ""LG 컴포트 키트"" 아이디어 공모전에서는
장애인, 노년층, 임산부, 손목증후군 환자 등 다양한 사용자들이 가전제품을 편리하게
사용할 수 있도록 돕는 LG 컴포트 키트 아이디어
를 제안합니다.
참여대상은 제한이 없으며 공모전 심사를 통해 각각 1등-3등에게 상금(최대 500만원)이 차등 지급됩니다.
상세내역은 아래와 같습니다.
기타 내역은 첨부파일 확인 바랍니다.
- 공모주제 : 가전제품의 접근성을 높이는 'LG 컴포트 키트' 아이디어 공모전
- 접수기간 : 2025년 3월 31(월) ~ 4월 28일(월)
* 아이디어 거래 : '25년 5월 중/ 최종 심사 : '25년 7월 중
-
참여대상 : 전 국민 누구나
- 참여방법 : 아이디어
로
(
https://www.ipmarket.or.kr/idearo/service/idc/chlg/idcDetail.do?idcId=KPOIP_IDC_20250331120832583
)
홈페이지를 통한 아이디어 제출
- 혜     택 : 아이디어 거래금/시상금 최대 총 1,400만원
거래금 1차 심사 통과 건당 50만원(10건)
시상금 1등 상금 500만원(1건)
2등 상금 200만원(1건)
3등 상금 100만원(1건)
- 문     의 : 한국발명진흥회 지식재산거래소 (02-3459-2889/2728)",https://icee.kangwon.ac.kr/index.php?mt=page&mp=5_1&mm=oxbbs&oxid=1&BID=1837&cmd=view,1918.jpg
공지사항,2024 언박싱 챌린지+ 참가자 선발 안내,'2025-01-09,"2024 언박싱 챌린지+ 참가 신청에 감사드리며, 아래와 같이 선발된 학생을 공지합니다.
참가 신청한 학생 순서대로 나열되었습니다.
문의: 033-250-7168/7169",https://icee.kangwon.ac.kr/index.php?mt=page&mp=5_1&mm=oxbbs&oxid=1&BID=1836&cmd=view,1915.jpg
공지사항,3D 프린팅 드론 제작 및 비행 경진대회 참가자 선발 안내,'2024-12-31,"아래와 같이 3D 프린팅 드론 제작 및 비행 경진대회 참가자를 선발합니다.
문의: 033-250-7168",https://icee.kangwon.ac.kr/index.php?mt=page&mp=5_1&mm=oxbbs&oxid=1&BID=1835&cmd=view,1912.jpg
공지사항,(종료)[모집] 2024 언박싱 챌린지+ 참가자 모집 안내,'2024-12-30,"○ 강원대학교 공학교육혁신센터에서는 아래와 같이 2024 언박싱 챌린지+ 참가자를 모집합니다.
○ 해당 내용을 확인하신 후, 난이도를 선택하여 신청 바랍니다.
○ 참가신청 바로가기
https://icee.kangwon.ac.kr/index.php?mt=page&mp=5_5&mm=application&oxid=1&cmd=class&subcmd=view&id=193
○ 아두이노 키트 배부 지연에 따른 보고서 제출 기간 연장: ~2025년 2월 9일(일) 23:59:59까지 (2025.1.21.수정)",https://icee.kangwon.ac.kr/index.php?mt=page&mp=5_1&mm=oxbbs&oxid=1&BID=1834&cmd=view,1910.png;1911.png
공지사항,(종료)[모집] 3D프린팅 드론 제작 및 비행 경진대회 참가자 모집,'2024-12-04,"○ 강원대학교 공학교육혁신센터에서는 아래와 같이 3D프린팅 드론 제작 및 비행 경진대회 참가자를 모집합니다.
○ 날짜 및 시간 확인하신 후, 분반을 선택하여 신청 바랍니다.
○ 참가신청 바로가기
https://icee.kangwon.ac.kr/index.php?mt=page&mp=5_5&mm=application&oxid=1&cmd=class&subcmd=view&id=191",https://icee.kangwon.ac.kr/index.php?mt=page&mp=5_1&mm=oxbbs&oxid=1&BID=1833&cmd=view,
