제목,작성일,본문,상세 링크,이미지 파일 경로
책 속의 지혜 : 인생책을 말하다' 5월 인생책 소개(정미애 삼척도서관장님),5월 1일,"
삼척도서관에서는 '책 속의 지혜 : 인생책을 말하다' 프로그램을 진행중입니다.정미애 삼척도서관장님의 5월 인생책을 다음과 같이 소개합니다.상세내용은 첨부물을 확인바랍니다.감사합니다.
붙임 ?추천사 1부. ?끝.",https://library.kangwon.ac.kr/community/bulletin/notice/34706?max=100&offset=0&bulletinCategoryId=1,data/images/b9d6f20f8a9a7bf878be6b3a9ac2d044.jpg
삼척도서관 '스마트도서관 랜덤 쿠폰뽑기' 행사 안내,5월 1일,"
- 스마트도서관 대출도서의 경우, 스마트도서관으로 반납 부탁드립니다.
- 삼척(임시)도서관 대출도서 반납은 공동실험실습관 1층 무인반납함이나, 삼척(임시)도서관 404호로 반납 부탁드립니다.
감사합니다.
",https://library.kangwon.ac.kr/community/bulletin/notice/34701?max=100&offset=0&bulletinCategoryId=1,data/images/2cd853c8c6e9eb814ea385f2bb54ae76.jpg
도서관 소식지 2025년 5월호(vol. 7),5월 1일,"
틀루토 코파일럿
도서관 홈페이지 어디서든 오른쪽 하단 아이콘 (강원대학교 학술 AI)을?통해 접근할 수 있습니다.
틀루토 코파일럿은?여러분의 질문에 대해 검증된 국내외 학술자료 바탕으로 답변하며, 모든 답변에 대한 인용?논문을 알려줘 주제 탐색이나 자료 조사에 많은 도움을 받을 수 있습니다.

Summon Research Assistant beta
도서관 홈페이지 '모든자료검색' 서비스에서 도입되어 제공되는 AI 서비스입니다. 모든자료검색 페이지 상단에서 'Summon Research Assistant'를 클릭해서 이용하실 수 있습니다.
모든 질문에 대해 검증된 학술자료를 바탕으로 답변하며, 모든 답변에 대한 인용?논문을 알려줘 주제 탐색이나 자료 조사에 많은 도움을 받을 수 있습니다.
질문 언어에 따라 해당 언어와 영어로 된 학술자료를 검색하며 해당?언어로 답변합니다.

DBpia AI (무료버전)국내 학술DB 서비스인 DBpia에서 제공하는 서비스로 현재 강원대학교는 무료버전을 이용할 수 있습니다. 무료 버전은 기관별 무료?이용량 내 이용가능 합니다.(각 서비스별 한 달 100건, 매달 초 초기화)
AI검색은 검증된 학술자료를 바탕으로 답변하며, DBpia에서 제공하는 논문인 경우 바로 원문을 확인 할 수 있습니다.
idea?서비스는 논문, 과제 등 목적과 주제에 따라 목차와 참고문헌을 추천하는 서비스입니다.
또한 DBpia에서 제공하는 논문에서는 AI 뷰어를 통해 논문 요약 등의 서비스를 이용할 수 있습니다.

강원대학교 도서관(24341) 강원특별자치도 춘천시 강원대학길1
",https://library.kangwon.ac.kr/community/bulletin/notice/34699?max=100&offset=0&bulletinCategoryId=1,data/images/18882fe6b0df6765c961aa732ca22c3f.jpg;data/images/063018d3925db314c7ac5678d05bb9df.jpg;data/images/5bec6585bd04d5eb12574632a939b17b.jpg;data/images/0edca3187a0d71beacb18552776fc316.jpg;data/images/d461b435ae32305a3b2fa9aaa2d20c3e.jpg;data/images/56f3119cb1b9b3e1ea0bf94851eb3d9a.jpg;data/images/601557817e230f66068bf1dc75ea7719.jpg;data/images/15055a95656b629269cfa69b1d29e8a1.jpg
2025년도「KNU 강원인문기행: 영월 편」신청 안내(무료/선착순 5월 1일 09:00~),4월 30일,"
[★★★신청페이지★★★]바로가기
* 문의: 033-250-7623(미래도서관 자료운영팀)",https://library.kangwon.ac.kr/community/bulletin/notice/34693?max=100&offset=0&bulletinCategoryId=1,data/images/469910517f1faea612a95461564db251.jpg
5월 북큐레이션 「새로 나온 오디오북」,4월 30일,"(2025년 1학기) 5월?북큐레이션?「새로 나온 오디오북」

5월?「새로 나온 오디오북」?(삼척) 임시도서관(공동실험실습관) 4F / (도계) 도계도서관 2F에 전시 되어 있습니다.
「새로 나온 오디오북」 도서를?함께 듣고,도서관 홈페이지 서평쓰기(150자 내외)에 참여해주세요.

도서관 홈페이지서평쓰기 참여혜택:
① 비교과 및 진품마일리지 부여? ② 도서관 마일리지 부여? ③ 추첨을 통해 소정의 선물 증정

5월 북큐레이션 바로가기
문의: 삼척도서관 033-570-6273

",https://library.kangwon.ac.kr/community/bulletin/notice/34686?max=100&offset=0&bulletinCategoryId=1,data/images/4c1618c3f023382b4d1b466e78b1a5c5.jpg;data/images/8570bbe60d1227771da3a0668a0a6b73.jpg;data/images/13c112f94e8ddf7bdbabf8682f932055.jpg;data/images/2caa58732ab2f1192e91db2f3e4d1fe7.jpg;data/images/8bdb5f4c0004322102a3a70eef34dfaa.jpg;data/images/82212d995502070477f3a6dcc8704585.jpg
2025 학술전자정보 온라인 퀴즈 당첨자 안내,4월 30일,"




",https://library.kangwon.ac.kr/community/bulletin/notice/34685?max=100&offset=0&bulletinCategoryId=1,data/images/e5d253b167eca2843106dcb977ca6d34.jpg
5월 북큐레이션 「너를 응원해: 인생 제2막의 시작」,4월 30일,"(2025년 1학기)?5월 북큐레이션 「너를 응원해: 인생 제2막의 시작」
5월 북큐레이션 :? 일상의 쉼표는 「삶을 바꾸는 지혜로운 책」 주제로 진행됩니다.

(삼척) 임시도서관(공동실험실습관) 4F / (도계) 도계도서관 2F에 전시 되어 있습니다.
「일상의 쉼표」 도서를?함께 읽고도서관 홈페이지 서평쓰기(150자내외)에 참여해주세요.

도서관 홈페이지서평쓰기 참여혜택:
① 비교과 및 진품마일리지 부여? ② 도서관 마일리지 부여? ③ 추첨을 통해 소정의 선물 증정

온라인 북큐레이션 바로가기
문의: 삼척도서관 033-570-6273

",https://library.kangwon.ac.kr/community/bulletin/notice/34682?max=100&offset=0&bulletinCategoryId=1,data/images/a9f2f2f0e10b07dfc294e23be2633a95.jpg;data/images/0c723cf781e3abe037832f8ba1ce3d5f.jpg;data/images/47d53acec57935c5857af1bc5c12ab5c.jpg;data/images/c0534a79abd343b5ae6ceeaf0ba1daec.jpg;data/images/8ab399226dfb34780cb757dd071ed190.jpg;data/images/7a7f356a4823e429193a1460d4d235ce.jpg;data/images/15c90f3f0a8878fed5faaf567544e01c.jpg;data/images/4d27b4f78b55bf687f668bd90bc7f681.jpg
"어린이날/부처님오신날(5.5.), 대체공휴일(5.6.) 자료실 휴실 안내",4월 30일,"어린이날/부처님오신날(5.5.),대체공휴일(5.6.)자료실 등 휴실 및 분관 휴관 사항을
안내하오니 이용에 참고해주시기 바랍니다.

구 분
5.5.(월)
어린이날/부처님오신날
5.6.(화)
대체공휴일
중앙도서관
KNU미래도서관
자료실·캐럴·플레이존
휴 실
휴 실
열람실·그룹스터디룸
정상운영
정상운영
법학도서관/의학도서관
휴 관
휴 관

□도서반납 안내
-휴실/휴관 기간 중 반납예정일은 자동 연기
-무인 도서반납기24시간 이용 가능:중앙도서관 후문, KNU미래도서관 지하1층 입구,법학도서관 입구

□문의전화
-중앙도서관 안내데스크: 033-250-8022
- KNU미래도서관 안내데스크: 033-250-7627

□기타 실별운영시간은[도서관이용>이용시간및실별안내]메뉴를 참고해주세요.",https://library.kangwon.ac.kr/community/bulletin/notice/34681?max=100&offset=0&bulletinCategoryId=1,
삼척(도계)자료실 휴실안내,4월 29일,,https://library.kangwon.ac.kr/community/bulletin/notice/34659?max=100&offset=0&bulletinCategoryId=1,data/images/9803b0d9b5f2d9234be155347159f74f.jpg
국내전자책 Yes24 모바일 앱 리뉴얼 안내,4월 28일,"도서관 국내전자책 공급사 중Yes24의 전자책?어플리케이션이 리뉴얼되어 안내해 드립니다.
'예스24 도서관(구)' 앱을 이용 중이신 분들은 '예스24 전자도서관(리뉴얼)' 앱을 설치하여 이용해주시길 바랍니다. 감사합니다.
※ 전자도서관 첫 이용자:?도서관 홈페이지 → 자료검색 → 전자책/오디오북 → 국내전자책 접속하여 최초 1회?자동인증?후,?각 공급사별(교보문고, 알라딘, Yes24 등) 전자책?이용 가능
(문의: 도서관 전산정보팀 033-250-7621, 8018)


",https://library.kangwon.ac.kr/community/bulletin/notice/34644?max=100&offset=0&bulletinCategoryId=1,data/images/f7b7c0726d0de736699356cdbb58328f.jpg
???'SAC on MIRAE' ??발레「심청」영상 상영 안내 (2025년 2회차) ?간식 제공 / 비교과·도서관 마일리지 부여?,4월 25일,"""도서관 스크린 속 예술의전당""
<2025년?'SAC on MIRAE' 2회차>발레「심청」영상 상영 안내
▲ 예고편?영상 (재생 버튼 클릭!)?▲

관람 신청하기 >>
연간 상영일정 보기?>>
회차별 접수 시작 알림신청?>>



강원대학교 도서관에서는 대학 구성원 및 지역주민에게 양질의 문화예술 콘텐츠 향유 기회를 제공하고자
예술의전당(Seoul Arts Center)의 우수 공연 콘텐츠 영상을 상영하는
'SAC on MIRAE' 프로그램을 운영하오니 여러분들의 많은 참여 바랍니다!

<2025년 'SAC on MIRAE' 2회차 영상 상영 안내>
-상영작품:발레「심청」
-작품설명:고전 판소리 '심청전'을 소재로 유니버설 발레단이 선보이는 동양의 아름다움
-상영일시:2025. 5. 7.(수) 19:00 ~ 20:30
-상영장소: KNU미래도서관 정강홀(지하1층)
-관람대상: 교내구성원, 지역주민 등 누구나
-접수기간:2025. 4. 25.(금) ~ 5. 7.(수) 09:00
-참여혜택:# 관람객 선착순 간식 제공# [교내구성원 및 도서관회원]도서관 마일리지5점 + [재학생]비교과 마일리지1점 추가 적립
-문의전화: 강원대학교 도서관 학술정보운영과?033-250-7621
*신청 바로가기:https://m.site.naver.com/1G90h

관람 신청하기 >>
연간 상영일정 보기?>>
회차별 접수 시작 알림신청?>>
",https://library.kangwon.ac.kr/community/bulletin/notice/34631?max=100&offset=0&bulletinCategoryId=1,data/images/9ab7cf0c50011a767d809ffae549a131.jpg;data/images/22a00dbbca69095a5b6e08d936ff2d27.jpg
