제목1,제목2,seq_score
[학부] 2020학년도 2학기 「좋은수업에세이」 공모전 시행 공고,[대학혁신지원사업] 2020학년도 2학기 「좋은수업에세이」 공모전 시행 공고,0.8857142857142857
2025학년도 학부 신입생 수강신청 안내,2025학년도 1학기 학부 수강신청 안내,0.8181818181818182
2022년 10월 4주(1차) 추천 채용 정보 안내,2022. 10월 2주 추천 채용 정보 안내,0.8979591836734694
[입학본부] 2018년 전공알림단 선발 안내,2018학년도 전공알림단 선발 안내,0.8292682926829268
2015년 2학기 2차 희망사다리 신규 장학생 신청 안내,[학부] 2015년 2학기 2차 희망사다리 신규 장학생 수요조사 안내(~11.3),0.8285714285714286
2023학년도 신입생 학생증 발급 안내,[안내] 2023학년도 신입생(재학생) 학생증 발급 안내,0.875
2015학년도 2학기 경북대학교 수학 안내,2015학년도 2학기 전북대학교 수학 안내,0.9565217391304348
2021학년도 1학기 군입대 및 질병휴학자의 수강과목 철회(성적포기) 여부 조사 안내,2021학년도 1학기 군입대 및 질병휴학자의 수강과목 철회(성적포기) 여부 조사,0.9655172413793104
(2학기) 학생생활관 조기입사대상자 추천,(20-2학기) 학생생활관 조기입사대상자 추천 협조 요청,0.8333333333333334
2018년 대학생 재능봉사 제17기 하계 캠프 참여 멘토 모집 안내,2018년 제17기 재능봉사 하계 캠프 참여 멘토 모집 안내,0.8285714285714286
2023학년도 1학기 학석사 연계과정 모집 안내,2023학년도 1학기 학석사 연계과정 모집 안내-10.13.목까지,0.8813559322033898
2021학년도 1학기 한양대학교 일반대학원 학점교류 안내,2021학년도 1학기 전남대학교 일반대학원 학점교류 안내,0.935483870967742
2024년 국제재생에너지기구(IRENA) 근무 인턴 후보자 추가모집 안내,2024년 국제에너지기구(IEA) 근무 인턴 후보자 추가모집 안내-4.17.수.18시까지,0.8395061728395061
2018학년도 1학기 중국 자매대학 파견교환학생 2차 추가선발,2018학년도 1학기 중국 자매대학 파견교환학생 2차 추가선발 계획,0.9577464788732394
『2022년 제25기 하계 대학생 재능봉사 캠프사업』 대학생 멘토 모집 안내,『2022년 제25기 하계 대학생 재능봉사 캠프사업』 대학생 멘토 모집 안내-6.13.월까지,0.9302325581395348
[대학혁신_교수사업] 2022학년도 2학기 [메이저러너] 프로그램 시행 공고,[대학혁신_교수학습] 2022학년도 2학기 [메이저러너] 프로그램 시행 공고,0.9473684210526316
2011년도 1학기 농촌희망재단 장학생 선발,2011년도 1학기 농촌희망재단(계속자및신규자) 장학생 선발 안내,0.8275862068965517
2023학년도 2학기 학부생 재입학 추가모집 계획 알림,2023학년도 2학기 학부생 재입학 추가모집 계획 알림-8.2.수까지,0.9230769230769232
2025학년도 오리엔테이션 미참석 신입생 대상 에코백 등 배부 안내(3/4(화) ~ 3/7(금) 18시까지),2025학년도 입학식/오리엔테이션 미참석 신입생 대상 에코백 등 배부 안내,0.8222222222222222
2022. 10월 3주 추천 채용 정보 안내,2022년 10월 2주 추천 채용 정보 안내,0.9361702127659576
2023학년도 신입생(1학년) 강원대학교 핵심역량 진단(KCCA) 홍보,2023학년도 신입생(1학년) 강원대학교 핵심역량 진단(KCCA)홍보 및 참여 협조 요청,0.85
2019. 전기 일반대학원 신입생(정원내) 2차 모집 안내 홍보 협조,(1/10마감) 2019. 전기 일반대학원 신입생(정원내) 2차 모집 안내,0.8285714285714286
2021학년도 동계 계절수업 서울시립대학교 교류수학 안내,2021학년도 동계 계절수업 서울시립대학교 학점교류 수학 안내,0.953846153846154
2023학년도 겨울 계절수업 제주대학교 교류수학 안내-10.24.화까지,2023학년도 동계 계절수업 인하대학교 교류수학 안내-11.10.금까지,0.8055555555555556
