제목1,제목2,label,seq_score,jac_score,cos_score
[학부] 2020학년도 2학기 「좋은수업에세이」 공모전 시행 공고,[대학혁신지원사업] 2020학년도 2학기 「좋은수업에세이」 공모전 시행 공고,duplication,0.885714286,0.75,0.825375686
2025학년도 학부 신입생 수강신청 안내,2025학년도 1학기 학부 수강신청 안내,different,0.818181818,0.666666667,0.826669715
2022년 10월 4주(1차) 추천 채용 정보 안내,2022. 10월 2주 추천 채용 정보 안내,different,0.897959184,0.555555556,0.569321372
[입학본부] 2018년 전공알림단 선발 안내,2018학년도 전공알림단 선발 안내,duplication,0.829268293,0.5,0.552890015
2015년 2학기 2차 희망사다리 신규 장학생 신청 안내,[학부] 2015년 2학기 2차 희망사다리 신규 장학생 수요조사 안내(~11.3),different,0.828571429,0.545454545,0.719523459
2023학년도 신입생 학생증 발급 안내,[안내] 2023학년도 신입생(재학생) 학생증 발급 안내,duplication,0.875,0.666666667,0.681681091
2015학년도 2학기 경북대학교 수학 안내,2015학년도 2학기 전북대학교 수학 안내,different,0.956521739,0.666666667,0.562096185
2021학년도 1학기 군입대 및 질병휴학자의 수강과목 철회(성적포기) 여부 조사 안내,2021학년도 1학기 군입대 및 질병휴학자의 수강과목 철회(성적포기) 여부 조사,duplication,0.965517241,0.9,0.996070393
(2학기) 학생생활관 조기입사대상자 추천,(20-2학기) 학생생활관 조기입사대상자 추천 협조 요청,duplication,0.833333333,0.428571429,0.746467893
2018년 대학생 재능봉사 제17기 하계 캠프 참여 멘토 모집 안내,2018년 제17기 재능봉사 하계 캠프 참여 멘토 모집 안내,duplication,0.828571429,0.9,0.967524884
2023학년도 1학기 학석사 연계과정 모집 안내,2023학년도 1학기 학석사 연계과정 모집 안내-10.13.목까지,duplication,0.881355932,0.714285714,0.708629152
2021학년도 1학기 한양대학교 일반대학원 학점교류 안내,2021학년도 1학기 전남대학교 일반대학원 학점교류 안내,different,0.935483871,0.714285714,0.640563951
2024년 국제재생에너지기구(IRENA) 근무 인턴 후보자 추가모집 안내,2024년 국제에너지기구(IEA) 근무 인턴 후보자 추가모집 안내-4.17.수.18시까지,different,0.839506173,0.555555556,0.611661239
2018학년도 1학기 중국 자매대학 파견교환학생 2차 추가선발,2018학년도 1학기 중국 자매대학 파견교환학생 2차 추가선발 계획,duplication,0.957746479,0.875,0.960292941
『2022년 제25기 하계 대학생 재능봉사 캠프사업』 대학생 멘토 모집 안내,『2022년 제25기 하계 대학생 재능봉사 캠프사업』 대학생 멘토 모집 안내-6.13.월까지,duplication,0.930232558,0.8,0.86762948
[대학혁신_교수사업] 2022학년도 2학기 [메이저러너] 프로그램 시행 공고,[대학혁신_교수학습] 2022학년도 2학기 [메이저러너] 프로그램 시행 공고,duplication,0.947368421,0.75,0.600892474
2011년도 1학기 농촌희망재단 장학생 선발,2011년도 1학기 농촌희망재단(계속자및신규자) 장학생 선발 안내,duplication,0.827586207,0.571428571,0.460048943
2023학년도 2학기 학부생 재입학 추가모집 계획 알림,2023학년도 2학기 학부생 재입학 추가모집 계획 알림-8.2.수까지,duplication,0.923076923,0.75,0.718526613
2025학년도 오리엔테이션 미참석 신입생 대상 에코백 등 배부 안내(3/4(화) ~ 3/7(금) 18시까지),2025학년도 입학식/오리엔테이션 미참석 신입생 대상 에코백 등 배부 안내,duplication,0.822222222,0.538461538,0.62201219
2022. 10월 3주 추천 채용 정보 안내,2022년 10월 2주 추천 채용 정보 안내,different,0.936170213,0.555555556,0.564370761
2023학년도 신입생(1학년) 강원대학교 핵심역량 진단(KCCA) 홍보,2023학년도 신입생(1학년) 강원대학교 핵심역량 진단(KCCA)홍보 및 참여 협조 요청,duplication,0.85,0.363636364,0.574320191
2019. 전기 일반대학원 신입생(정원내) 2차 모집 안내 홍보 협조,(1/10마감) 2019. 전기 일반대학원 신입생(정원내) 2차 모집 안내,duplication,0.828571429,0.7,0.710496063
2021학년도 동계 계절수업 서울시립대학교 교류수학 안내,2021학년도 동계 계절수업 서울시립대학교 학점교류 수학 안내,duplication,0.953846154,0.625,0.739554978
2023학년도 겨울 계절수업 제주대학교 교류수학 안내-10.24.화까지,2023학년도 동계 계절수업 인하대학교 교류수학 안내-11.10.금까지,different,0.805555556,0.333333333,0.255233214
[안내]2017학년도 1학기 재학생 등록금 수납계획 알림,2017학년도 1학기 재학생 등록금 수납계획 안내,duplication,0.892857143,0.5,0.643531437
『2021년 제23기 학계 대학생 재능봉사 캠프 사업』 대학생 멘토 모집 공고,『2021년 제23기 동계 대학생 재능봉사 캠프 사업』 대학생 멘토 모집 공고,different,0.975609756,0.818181818,0.842720373
2020학년도 동계 계절수업 해외어학연수 학점인정 신청 안내,2020학년도 동계 계절수업（단기해외어학연수） 학점인정 신청 안내,duplication,0.955223881,0.625,0.571897306
2022학년도 1학기 재학생 등록금 1차 추가 납부기간 안내,2022학년도 1학기 재학생 등록금 1차 추가납부기간 안내,duplication,0.984615385,0.666666667,0.641503817
[공통] 2022-1학기 코로나19 대응 재학생 마음건강 지원 프로그램 안내,2022-1학기 코로나19 대응 재학생 마음건강 지원 프로그램 홍보,duplication,0.906666667,0.7,0.851761033
'내가 만드는 발명의 날 60주년 기념식 공모' 홍보 협조요청,＇내가 만드는 발명의 날 60주년 기념식 공모＇ 안내,duplication,0.847457627,0.7,0.929049288
(필독)2023학년도 2학기 수강신청 안내,2023학년도 2학기 수강신청 안내,duplication,0.95,0.6,0.424105237
2020학년도 2학기 등록 및 휴·복학 일정 안내,2020학년도 2학기 등록 및 휴·복학 신청 안내,duplication,0.923076923,0.75,0.85323742
2022학년도 2학기 재학생 등록금 2차 추가납부기간 안내,2022학년도 2학기 재학생 등록금 1차 추가 납부기간 안내,different,0.953846154,0.5,0.454769275
(국가거점국립대학교) 2025. 1학기 경상국립대학교 교류 수학 안내,(국가거점국립대학교) 2025학년도 1학기 충북대학교 교류 수학 안내,different,0.873239437,0.555555556,0.553172498
2020학년도 1학기 부산대학교 교류 수학 안내,2020학년도 1학기 경북대학교 교류 수학 안내,different,0.923076923,0.714285714,0.630248501
[글로컬_학생중심] 2025학년도 1학기 『메이저러너』 시행 공고,[글로컬_학생중심] 2025학년도 1학기 「챌린지러너」 시행 공고,different,0.90625,0.714285714,0.722364014
2011학년도 동계 계절수업 수강신청 안내,2011학년도 동계 계절수업 수업시간표 및 수강신청 안내,duplication,0.851851852,0.714285714,0.830915236
2020학년도 2학기 비대면 수업 만족도 조사 안내,2020-2 비대면 수업 만족도 조사,duplication,0.808510638,0.5,0.796902694
2018학년도 1학기 수강신청 기간 변경 안내,[안내]2018학년도 1학기 수강신청 기간변경 안내,duplication,0.941176471,0.375,0.214232332
2023학년도 전기 일반대학원 신입생(정원내) 모집,2023학년도 전기 일반대학원 신입생(정원내) 모집 요강,duplication,0.945454545,0.833333333,0.836011878
한국문화예술위원회 아르코문화예술전문가코스 교육 안내-신청11.30.수까지,한국문화예술위원회 아르코문화예술전문가코스 교육 안내,duplication,0.861538462,0.6,0.801014044
2023-2학기 국가장학금 신청자 가구원 동의 안내,2023-2학기 국가장학금 신청자 가구원 동의  요청,duplication,0.925925926,0.714285714,0.954066929
2014학년도 동계 계절학기 해외어학연수 학점인정 신청안내,2014학년도 하계 계절학기 해외어학연수 학점인정 신청안내,different,0.96875,0.714285714,0.896082521
2024학년도 여름 계절수업 전남대학교 학점교류 수학 안내,2024학년도 하계 계절수업 세종대학교 교류수학 안내,different,0.819672131,0.3,0.254460768
2015-1학기 집단상담 참여자 모집,2015-1학기 집단상담 참여자 모집 안내,duplication,0.926829268,0.8,0.991818916
2023년도 학생 e-루리 장애인식개선교육(법정의무교육) 수강 안내,2023년도 학생 대상 e-루리 폭력예방교육(법정의무교육) 수강 안내,duplication,0.811594203,0.625,0.625942925
[안내]2020-2학기 KNU핵심역량장학금 선발 계획 안내,2020-2학기 KNU핵심역량장학금 선발 계획 안내,duplication,0.964285714,0.666666667,0.550149655
2025학년도 1학기 학·석사 연계과정 모집 안내,2025학년도 2학기 학.석사 연계과정 신청 안내,different,0.884615385,0.5,0.851223662
